Report Date:,08/11/2025 19:45:39
Report User Name:,Bryce
Report Computer Name:,DESKTOP-9S7IEBK
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,Arizona.Creek.Baro_2025-08-11_19-45-18-131.wsl
Create Date,08/11/2025 19:45:15

Device Properties
Device,Rugged BaroTROLL
Site,Default Site
Device Name, 
Serial Number,1126822
Firmware Version,1.05
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Arizona.Creek.Baro
,Created By,Bryce
,Computer Name,DESKTOP-9S7IEBK
,Application,WinSitu.exe
,Application Version,5.7.8.0
,Create Date,08/20/2024 07:28:44 Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,08/20/2024 08:00:00 Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings



Log Notes:
Date and Time,Note
08/20/2024 07:28:54,Used Battery: 0% Used Memory: 3%   User Name: Bryce
08/11/2025 19:40:36,Log Download - Used Battery: 7% Used Memory: 28%   User Name: Bryce


Log Data:
Record Count,34223

Sensors,1

 ,1,1126822,Baro-Pressure/Temp

Time Zone: Mountain Daylight Time

,,Sensor: Baro Pres                       ,Sensor: Baro Pres                       ,
,Elapsed Time,SN#: 1126822                            ,SN#: 1126822                            ,
Date and Time,Seconds     ,Barometric Pressure (Bar)               ,Temperature (C)                         ,
08/20/2024 08:00:00,       0.000,                                   0.799,                                  11.456,
08/20/2024 08:15:00,     900.001,                                   0.799,                                  10.624,
08/20/2024 08:30:00,    1800.001,                                   0.798,                                  10.571,
08/20/2024 08:45:00,    2700.001,                                   0.798,                                  10.988,
08/20/2024 09:00:00,    3600.001,                                   0.799,                                  12.078,
08/20/2024 09:15:00,    4500.001,                                   0.799,                                  14.908,
08/20/2024 09:30:00,    5400.001,                                   0.799,                                  17.602,
08/20/2024 09:45:00,    6300.001,                                   0.799,                                  18.861,
08/20/2024 10:00:00,    7200.001,                                   0.799,                                  19.313,
08/20/2024 10:15:00,    8100.001,                                   0.799,                                  19.363,
08/20/2024 10:30:00,    9000.001,                                   0.799,                                  19.212,
08/20/2024 10:45:00,    9900.001,                                   0.799,                                  19.162,
08/20/2024 11:00:00,   10800.001,                                   0.799,                                  19.713,
08/20/2024 11:15:00,   11700.001,                                   0.798,                                  20.413,
08/20/2024 11:30:00,   12600.001,                                   0.799,                                  21.507,
08/20/2024 11:45:00,   13500.001,                                   0.799,                                  25.200,
08/20/2024 12:00:00,   14400.001,                                   0.799,                                  27.920,
08/20/2024 12:15:00,   15300.001,                                   0.799,                                  29.699,
08/20/2024 12:30:00,   16200.001,                                   0.798,                                  30.608,
