site,event,date,time,notes,type,discharge.m.s,gauge.m
10,12,2024/08/20,07:47:00 AM,,velocity profiling,0.10268600000000001,0.33
10,14,2025/08/11,07:17:00 PM,,velocity profiling,0.08930135000000003,0.34
16,11,2024/07/13,06:29:00 PM,,velocity profiling,1.966401,0.7
16,12,2024/08/16,05:09:00 PM,,velocity profiling,1.659691,0.68
16,14,2025/08/11,04:44:00 PM,,velocity profiling,1.6823904,0.65
17,11,2024/07/13,03:50:00 PM,,velocity profiling,0.637264,0.4
17,12,2024/08/16,03:29:00 PM,,velocity profiling,0.385213,0.42
19,11,2024/07/15,,,velocity profiling,2.0188300000000003,0.62
19,12,2024/08/18,08:46:00 AM,,velocity profiling,0.71199352,0.42
20,11,2024/07/15,08:34:00 AM,,velocity profiling,2.731024,0.61
20,12,2024/08/18,07:38:00 AM,,velocity profiling,0.6998958000000001,0.35
20,14,2025/08/12,,,velocity profiling,0.28802370000000005,0.35
22,11,2024/07/15,11:39:00 AM,,salt dilution,0.6655429,0.33
22,12,2024/08/18,10:05:00 AM,,salt dilution,0.1996222,0.25
27,11,2024/07/15,06:10:00 PM,,velocity profiling,3.153530000000001,0.46
27,12,2024/08/18,01:12:00 PM,,velocity profiling,0.5952458,0.19
27,14,2025/08/12,11:05:00 AM,,velocity profiling,0.5974579,0.2
30,11,2024/07/17,09:17:00 AM,,velocity profiling,0.17008000000000004,0.3
30,12,2024/08/18,02:33:00 PM,,velocity profiling,0.11624545000000001,0.17
30,14,2025/08/12,10:25:00 AM,,velocity profiling,0.053816800000000005,0.17
38,11,2024/07/15,02:58:00 PM,,velocity profiling,0.7258815,0.35
38,11,2024/07/15,02:58:00 PM,,velocity profiling,0.8475212000000001,0.35
38,12,2024/08/18,11:03:00 AM,,salt dilution,0.25099180000000004,0.27
38,14,2025/08/12,01:18:00 PM,,velocity profiling,0.0896362,0.24
40,11,2024/07/15,04:37:00 PM,,velocity profiling,1.901804,0.48
40,12,2024/08/18,12:11:00 PM,,velocity profiling,0.3450616999999999,0.23
40,14,2025/08/12,12:04:00 PM,,velocity profiling,0.5003306000000001,0.25
