Date.and.Time,Seconds,Temperature..C.,Pressure..kPa.,Depth..cm.,X,baro_meter,depth.m,discharge
2024-08-20T14:00:00Z,0,12.592,82.962,846.822,NA,8.1475628,0.3206572000000012,0.0917677185612066
2024-08-20T14:15:00Z,900,12.54,82.956,846.758,NA,8.1475628,0.32001720000000056,0.0915845592874425
2024-08-20T14:30:00Z,1800,12.643,82.953,846.731,NA,8.1373656,0.3299443999999987,0.09442558857261256
2024-08-20T14:45:00Z,2700,12.746,82.93,846.497,NA,8.1373656,0.32760439999999846,0.09375591247791316
2024-08-20T15:00:00Z,3600,12.901,82.954,846.743,NA,8.1475628,0.3198672000000009,0.09154163133265418
2024-08-20T15:15:00Z,4500,12.953,82.94,846.6,NA,8.1475628,0.31843720000000175,0.09113238483033816
2024-08-20T15:30:00Z,5400,13.108,82.918,846.378,NA,8.1475628,0.31621720000000053,0.09049705109946922
2024-08-20T15:45:00Z,6300,13.314,82.913,846.326,NA,8.1475628,0.3156972000000007,0.09034823418953607
2024-08-20T16:00:00Z,7200,13.417,82.921,846.403,NA,8.1475628,0.3164672000000017,0.09056859769078358
2024-08-20T16:15:00Z,8100,13.674,82.902,846.208,NA,8.1475628,0.31451720000000094,0.09001053427853392
2024-08-20T16:30:00Z,9000,13.88,82.912,846.312,NA,8.1475628,0.31555720000000065,0.09030816809840021
2024-08-20T16:45:00Z,9900,14.136,82.933,846.532,NA,8.1475628,0.31775720000000085,0.09093777810196374
2024-08-20T17:00:00Z,10800,14.444,82.941,846.611,NA,8.1475628,0.31854720000000114,0.09116386533051617
2024-08-20T17:15:00Z,11700,14.7,82.917,846.365,NA,8.1373656,0.3262843999999987,0.09337814647577515
2024-08-20T17:30:00Z,12600,15.007,82.91,846.289,NA,8.1475628,0.3153272000000005,0.09024234523439124
2024-08-20T17:45:00Z,13500,15.314,82.892,846.109,NA,8.1475628,0.3135272000000011,0.08972720977693041
2024-08-20T18:00:00Z,14400,15.62,82.9,846.189,NA,8.1475628,0.31432720000000103,0.08995615886913529
2024-08-20T18:15:00Z,15300,15.926,82.887,846.062,NA,8.1475628,0.31305720000000115,0.08959270218526004
2024-08-20T18:30:00Z,16200,16.282,82.902,846.208,NA,8.1373656,0.3247143999999995,0.09292883388232327
2024-08-20T18:45:00Z,17100,16.587,82.833,845.511,NA,8.1373656,0.3177443999999987,0.09093411491648784
2024-08-20T19:00:00Z,18000,17.094,82.811,845.284,NA,8.1373656,0.3154743999999994,0.09028447186735664
2024-08-20T19:15:00Z,18900,17.398,82.845,845.626,NA,8.1373656,0.3188943999999996,0.09126322923653264
2024-08-20T19:30:00Z,19800,17.651,82.816,845.332,NA,8.1373656,0.31595439999999897,0.09042184132267946
2024-08-20T19:45:00Z,20700,17.752,82.788,845.048,NA,8.1373656,0.3131143999999999,0.08960907204535233
2024-08-20T20:00:00Z,21600,17.954,82.814,845.311,NA,8.1271684,0.32594160000000016,0.09328004178976577
2024-08-20T20:15:00Z,22500,18.256,82.786,845.031,NA,8.1271684,0.3231415999999996,0.09247871996704846
2024-08-20T20:30:00Z,23400,18.307,82.762,844.785,NA,8.1271684,0.32068159999999857,0.0917747015085181
2024-08-20T20:45:00Z,24300,18.71,82.814,845.312,NA,8.1271684,0.3259515999999998,0.09328290365341822
2024-08-20T21:00:00Z,25200,19.112,82.764,844.801,NA,8.1271684,0.3208415999999996,0.09182049132695938
2024-08-20T21:15:00Z,26100,19.513,82.749,844.654,NA,8.1271684,0.3193716000000002,0.09139979737003304
2024-08-20T21:30:00Z,27000,19.814,82.758,844.739,NA,8.1271684,0.3202216,0.09164305578050069
2024-08-20T21:45:00Z,27900,20.114,82.736,844.513,NA,8.1271684,0.3179616000000003,0.09099627459502192
2024-08-20T22:00:00Z,28800,20.314,82.756,844.725,NA,8.1169712,0.3302788000000003,0.09452128929315468
2024-08-20T22:15:00Z,29700,20.464,82.71,844.248,NA,8.1169712,0.3255087999999997,0.09315618033088278
2024-08-20T22:30:00Z,30600,20.614,82.724,844.395,NA,8.1169712,0.3269787999999991,0.09357687428780913
2024-08-20T22:45:00Z,31500,20.664,82.725,844.409,NA,8.1169712,0.32711879999999915,0.093616940378945
2024-08-20T23:00:00Z,32400,20.664,82.695,844.097,NA,8.1169712,0.32399880000000003,0.09272403891934614
2024-08-20T23:15:00Z,33300,20.464,82.689,844.04,NA,8.1169712,0.3234288000000003,0.09256091269115022
2024-08-20T23:30:00Z,34200,20.314,82.69,844.05,NA,8.1169712,0.32352880000000006,0.09258953132767576
2024-08-20T23:45:00Z,35100,20.164,82.655,843.695,NA,8.1169712,0.31997880000000123,0.09157356973101685
2024-08-21T00:00:00Z,36000,19.864,82.627,843.402,NA,8.1169712,0.31704880000000024,0.09073504368081613
2024-08-21T00:15:00Z,36900,19.614,82.635,843.487,NA,8.1169712,0.31789880000000004,0.09097830209128377
2024-08-21T00:30:00Z,37800,19.413,82.64,843.535,NA,8.106774,0.328576,0.09403397115039645
2024-08-21T00:45:00Z,38700,19.162,82.623,843.36,NA,8.1169712,0.31662880000000015,0.09061484540740852
2024-08-21T01:00:00Z,39600,18.911,82.616,843.29,NA,8.1169712,0.3159288,0.0904145149517292
2024-08-21T01:15:00Z,40500,18.559,82.637,843.504,NA,8.1169712,0.3180688000000007,0.09102695377337751
2024-08-21T01:30:00Z,41400,18.357,82.631,843.448,NA,8.1169712,0.3175088000000006,0.09086668940883404
2024-08-21T01:45:00Z,42300,18.004,82.652,843.662,NA,8.106774,0.32984599999999986,0.0943974278342717
2024-08-21T02:00:00Z,43200,17.853,82.613,843.257,NA,8.1169712,0.31559880000000007,0.0903200734511947
2024-08-21T02:15:00Z,44100,17.347,82.619,843.327,NA,8.1169712,0.3162988000000002,0.09052040390687402
2024-08-21T02:30:00Z,45000,17.297,82.598,843.106,NA,8.1169712,0.3140888000000004,0.08988793203965804
2024-08-21T02:45:00Z,45900,17.246,82.632,843.456,NA,8.1169712,0.31758879999999934,0.09088958431805418
2024-08-21T03:00:00Z,46800,16.993,82.63,843.439,NA,8.1169712,0.31741880000000045,0.09084093263596095
2024-08-21T03:15:00Z,47700,16.84,82.631,843.45,NA,8.1169712,0.31752879999999983,0.09087241313613895
2024-08-21T03:30:00Z,48600,16.637,82.636,843.499,NA,8.1169712,0.3180188000000008,0.09101264445511473
2024-08-21T03:45:00Z,49500,16.688,82.617,843.305,NA,8.1169712,0.31607879999999966,0.09045744290651751
2024-08-21T04:00:00Z,50400,16.383,82.619,843.328,NA,8.1169712,0.31630879999999983,0.09052326577052648
2024-08-21T04:15:00Z,51300,16.231,82.615,843.287,NA,8.1169712,0.31589880000000115,0.09040592936077184
2024-08-21T04:30:00Z,52200,16.078,82.601,843.143,NA,8.1169712,0.3144588000000006,0.08999382099480287
2024-08-21T04:45:00Z,53100,15.926,82.643,843.57,NA,8.1169712,0.3187288000000006,0.09121583677444652
2024-08-21T05:00:00Z,54000,15.773,82.588,843.01,NA,8.1169712,0.31312879999999943,0.08961319312901188
2024-08-21T05:15:00Z,54900,15.569,82.619,843.32,NA,8.1169712,0.3162288000000011,0.09050037086130634
2024-08-21T05:30:00Z,55800,15.365,82.629,843.423,NA,8.1169712,0.3172587999999994,0.09079514281751967
2024-08-21T05:45:00Z,56700,15.212,82.63,843.435,NA,8.1169712,0.3173788000000002,0.09082948518135063
2024-08-21T06:00:00Z,57600,15.109,82.643,843.564,NA,8.1169712,0.3186687999999993,0.09119866559253079
2024-08-21T06:15:00Z,58500,14.905,82.602,843.148,NA,8.1169712,0.3145088000000005,0.09000813031306563
2024-08-21T06:30:00Z,59400,14.803,82.625,843.381,NA,8.1169712,0.3168387999999993,0.09067494454411207
2024-08-21T06:45:00Z,60300,14.598,82.609,843.225,NA,8.1169712,0.31527879999999975,0.09022849381431264
2024-08-21T07:00:00Z,61200,14.444,82.575,842.874,NA,8.1169712,0.3117687999999994,0.08922397967226355
2024-08-21T07:15:00Z,62100,14.29,82.586,842.99,NA,8.1169712,0.3129287999999999,0.0895559558559608
2024-08-21T07:30:00Z,63000,14.136,82.552,842.64,NA,8.1169712,0.30942879999999917,0.08855430357756415
2024-08-21T07:45:00Z,63900,13.982,82.569,842.809,NA,8.1169712,0.31111879999999914,0.08903795853484699
2024-08-21T08:00:00Z,64800,13.828,82.58,842.926,NA,8.1169712,0.31228880000000103,0.0893727965821972
2024-08-21T08:15:00Z,65700,13.674,82.541,842.524,NA,8.1169712,0.30826880000000045,0.08822232739386741
2024-08-21T08:30:00Z,66600,13.571,82.543,842.55,NA,8.106774,0.31872599999999984,0.09121503545262358
2024-08-21T08:45:00Z,67500,13.417,82.529,842.408,NA,8.1169712,0.30710879999999996,0.08789035121017016
2024-08-21T09:00:00Z,68400,13.314,82.568,842.797,NA,8.106774,0.3211960000000005,0.09192191577480639
