Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-07-15 14:03:34,0.06037065,0.04311055,10.7049
2024-07-15 14:03:36,0.06047257,0.04311055,10.64471
2024-07-15 14:03:38,0.06043852,0.04311055,10.66479
2024-07-15 14:03:40,0.06035362,0.04311055,10.71497
2024-07-15 14:03:42,0.06052361,0.04311055,10.61465
2024-07-15 14:03:44,0.06038763,0.04311055,10.69485
2024-07-15 14:03:46,0.06042157,0.04311055,10.6748
2024-07-15 14:03:48,0.06042157,0.04311055,10.6748
2024-07-15 14:03:50,0.06040457,0.04311055,10.68484
2024-07-15 14:03:52,0.06042157,0.04311055,10.6748
2024-07-15 14:03:54,0.060435,0.04312013,10.6748
2024-07-15 14:03:56,0.06051907,0.043168,10.66479
2024-07-15 14:03:58,0.06089894,0.04342674,10.65475
2024-07-15 14:04:00,0.06201281,0.04427077,10.69485
2024-07-15 14:04:02,0.06401791,0.0457022,10.69485
2024-07-15 14:04:04,0.07158523,0.05111886,10.7049
2024-07-15 14:04:06,0.09751966,0.06954079,10.65475
2024-07-15 14:04:08,0.1001898,0.0715453,10.7049
2024-07-15 14:04:10,0.1216714,0.08681206,10.6748
2024-07-15 14:04:12,0.1330546,0.09493391,10.6748
2024-07-15 14:04:14,0.1944821,0.1387233,10.66479
2024-07-15 14:04:16,0.1719166,0.1228344,10.72501
2024-07-15 14:04:18,0.2081177,0.148533,10.68484
2024-07-15 14:04:20,0.2188099,0.1563397,10.72501
2024-07-15 14:04:22,0.2276387,0.1624193,10.6748
2024-07-15 14:04:24,0.2202518,0.1572371,10.69485
2024-07-15 14:04:26,0.2265611,0.1617413,10.69485
2024-07-15 14:04:28,0.2193088,0.1565639,10.69485
2024-07-15 14:04:30,0.2159502,0.1534303,10.52448
2024-07-15 14:04:32,0.2080793,0.1484221,10.66479
2024-07-15 14:04:34,0.1984414,0.1414678,10.64471
2024-07-15 14:04:36,0.1881677,0.1342569,10.6748
2024-07-15 14:04:38,0.1821579,0.1299725,10.67578
2024-07-15 14:04:40,0.1743011,0.1244716,10.7059
2024-07-15 14:04:42,0.1670028,0.1192261,10.69583
2024-07-15 14:04:44,0.1526746,0.1089969,10.69583
2024-07-15 14:04:46,0.1508739,0.1076812,10.68582
2024-07-15 14:04:48,0.14498,0.1034455,10.67578
2024-07-15 14:04:50,0.1393982,0.09954675,10.7059
2024-07-15 14:04:52,0.1327534,0.09480163,10.7059
2024-07-15 14:04:54,0.1259492,0.08979093,10.64569
2024-07-15 14:04:56,0.1206695,0.08609957,10.67578
2024-07-15 14:04:58,0.1151923,0.08221467,10.68582
2024-07-15 14:05:00,0.1139743,0.0814139,10.71591
2024-07-15 14:05:02,0.1008899,0.07196632,10.66577
2024-07-15 14:05:04,0.1045085,0.07458947,10.68582
2024-07-15 14:05:06,0.103495,0.07390767,10.7059
2024-07-15 14:05:08,0.09858104,0.07031938,10.66577
2024-07-15 14:05:10,0.09241304,0.0659567,10.68582
2024-07-15 14:05:12,0.09059868,0.06467991,10.69583
2024-07-15 14:05:14,0.09303954,0.06642248,10.69583
2024-07-15 14:05:16,0.08782459,0.06273471,10.71591
2024-07-15 14:05:18,0.08678032,0.06193654,10.68582
2024-07-15 14:05:20,0.08658953,0.06188726,10.73599
2024-07-15 14:05:22,0.0804672,0.05743076,10.68582
2024-07-15 14:05:24,0.08078741,0.05767547,10.69583
2024-07-15 14:05:26,0.08142736,0.05811604,10.68582
2024-07-15 14:05:28,0.07913157,0.05654102,10.72595
2024-07-15 14:05:30,0.07818604,0.05581832,10.69583
2024-07-15 14:05:32,0.07632045,0.05450181,10.7059
2024-07-15 14:05:34,0.07390171,0.05278933,10.71591
2024-07-15 14:05:36,0.07602044,0.05428757,10.7059
2024-07-15 14:05:38,0.07235863,0.05164354,10.68582
2024-07-15 14:05:40,0.07119044,0.05080979,10.68582
2024-07-15 14:05:42,0.07134561,0.0508776,10.65573
2024-07-15 14:05:44,0.07000393,0.04997697,10.69583
2024-07-15 14:05:46,0.07010972,0.04999626,10.65573
2024-07-15 14:05:48,0.06939883,0.04962859,10.75607
2024-07-15 14:05:50,0.06764249,0.04830472,10.7059
2024-07-15 14:05:52,0.06790742,0.04850751,10.71591
2024-07-15 14:05:54,0.06723699,0.04801515,10.7059
2024-07-15 14:05:56,0.06720994,0.04799583,10.7059
2024-07-15 14:05:58,0.06625291,0.04727249,10.67578
2024-07-15 14:06:00,0.06606729,0.04716653,10.69583
2024-07-15 14:06:02,0.06574681,0.04696415,10.71591
2024-07-15 14:06:04,0.06549174,0.04674254,10.68582
2024-07-15 14:06:06,0.06483876,0.04632853,10.72595
2024-07-15 14:06:08,0.06506384,0.04646326,10.7059
2024-07-15 14:06:10,0.06456916,0.04609825,10.69681
