Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-08-18 10:00:00,0.06488499,0.04626743,10.65341
2024-08-18 10:00:02,0.06486673,0.04626743,10.66345
2024-08-18 10:00:04,0.06488499,0.04626743,10.65341
2024-08-18 10:00:06,0.06487159,0.04625787,10.65341
2024-08-18 10:00:08,0.06483508,0.04625787,10.67349
2024-08-18 10:00:10,0.06484847,0.04626743,10.67349
2024-08-18 10:00:12,0.06486673,0.04626743,10.66345
2024-08-18 10:00:14,0.06482553,0.04627706,10.69354
2024-08-18 10:00:16,0.06490321,0.04626743,10.6434
2024-08-18 10:00:18,0.06489861,0.04627706,10.65335
2024-08-18 10:00:20,0.06486689,0.04626743,10.66336
2024-08-18 10:00:22,0.06481221,0.04626743,10.69345
2024-08-18 10:00:24,0.0648851,0.04626743,10.65335
2024-08-18 10:00:26,0.06486689,0.04626743,10.66336
2024-08-18 10:00:28,0.06495343,0.04627706,10.62326
2024-08-18 10:00:30,0.0648804,0.04627706,10.66336
2024-08-18 10:00:32,0.06491684,0.04627706,10.64334
2024-08-18 10:00:34,0.0648898,0.04625779,10.64334
2024-08-18 10:00:36,0.06486689,0.04626743,10.66336
2024-08-18 10:00:38,0.06487564,0.04628669,10.6734
2024-08-18 10:00:40,0.06497169,0.04627706,10.61325
2024-08-18 10:00:42,0.0648257,0.04627706,10.69345
2024-08-18 10:00:44,0.06489861,0.04627706,10.65335
2024-08-18 10:00:46,0.0648804,0.04627706,10.66336
2024-08-18 10:00:48,0.06486214,0.04627706,10.6734
2024-08-18 10:00:50,0.06484864,0.04626743,10.6734
2024-08-18 10:00:52,0.06491684,0.04627706,10.64334
2024-08-18 10:00:54,0.06485744,0.04628669,10.68341
2024-08-18 10:00:56,0.06487564,0.04628669,10.6734
2024-08-18 10:00:58,0.06485744,0.04628669,10.68341
2024-08-18 10:01:00,0.06488915,0.04629633,10.6734
2024-08-18 10:01:02,0.06487094,0.04629633,10.68341
2024-08-18 10:01:04,0.06494865,0.04628669,10.6333
2024-08-18 10:01:06,0.06491212,0.04628669,10.65335
2024-08-18 10:01:08,0.06494387,0.04629633,10.64334
2024-08-18 10:01:10,0.06490742,0.04629633,10.66336
2024-08-18 10:01:12,0.06496695,0.04628669,10.62326
2024-08-18 10:01:14,0.06493513,0.04627706,10.6333
2024-08-18 10:01:16,0.06491212,0.04628669,10.65335
2024-08-18 10:01:18,0.0648939,0.04628669,10.66336
2024-08-18 10:01:20,0.06494387,0.04629633,10.64334
2024-08-18 10:01:22,0.06491212,0.04628669,10.65335
2024-08-18 10:01:24,0.06493513,0.04627706,10.6333
2024-08-18 10:01:26,0.06491212,0.04628669,10.65335
2024-08-18 10:01:28,0.0648939,0.04628669,10.66336
2024-08-18 10:01:30,0.0648028,0.04628669,10.7135
2024-08-18 10:01:32,0.0648028,0.04628669,10.7135
2024-08-18 10:01:34,0.06490742,0.04629633,10.66336
2024-08-18 10:01:36,0.06497078,0.04631552,10.64334
2024-08-18 10:01:38,0.06489783,0.04631552,10.68341
2024-08-18 10:01:40,0.0648939,0.04628669,10.66336
2024-08-18 10:01:42,0.0648939,0.04628669,10.66336
2024-08-18 10:01:44,0.06483919,0.04628669,10.69345
2024-08-18 10:01:46,0.06492563,0.04629633,10.65335
2024-08-18 10:01:48,0.0649208,0.04630588,10.66336
2024-08-18 10:01:50,0.06488443,0.04630588,10.68335
2024-08-18 10:01:52,0.06490269,0.04630588,10.67331
2024-08-18 10:01:54,0.06487093,0.04629624,10.68335
2024-08-18 10:01:56,0.06493443,0.04631552,10.6633
2024-08-18 10:01:58,0.06487969,0.04631552,10.69339
2024-08-18 10:02:00,0.06487969,0.04631552,10.69339
2024-08-18 10:02:02,0.06493919,0.04630588,10.65326
