Date.and.Time,Seconds,Temperature..C.,Pressure..kPa.,Depth..cm.,X,baro_meter,depth.m,discharge
2024-07-16T00:00:00Z,0,11.152,84.063,858.062,NA,8.120970931936737,0.45964906806326233,2.9793994086766586
2024-07-16T00:15:00Z,900,10.891,84.003,857.451,NA,8.11781686643655,0.45669313356344965,2.8870531231930623
2024-07-16T00:30:00Z,1800,10.839,84.018,857.606,NA,8.117980007755525,0.4580799922444747,2.930092130860164
2024-07-16T00:45:00Z,2700,10.839,83.915,856.554,NA,8.11643016522526,0.44910983477474,2.660517269865266
2024-07-16T01:00:00Z,3600,10.787,84.055,857.982,NA,8.11595433637825,0.46386566362174975,3.115178859842531
2024-07-16T01:15:00Z,4500,10.735,84.011,857.527,NA,8.112582749119428,0.46268725088057217,3.076747235072207
2024-07-16T01:30:00Z,5400,10.735,84.065,858.081,NA,8.111291213677543,0.4695187863224568,3.3048876066560076
2024-07-16T01:45:00Z,6300,10.735,84.065,858.081,NA,8.116674877203724,0.4641351227962751,3.1240201228477864
2024-07-16T02:00:00Z,7200,10.682,84.069,858.125,NA,8.111631091425407,0.4696189085745939,3.308328372572497
2024-07-16T02:15:00Z,8100,10.63,84.057,858.003,NA,8.108014792188124,0.4720152078118769,3.3915324047587494
2024-07-16T02:30:00Z,9000,10.578,84.11,858.545,NA,8.110761004390874,0.47468899560912625,3.4863263633383594
2024-07-16T02:45:00Z,9900,10.525,84.087,858.312,NA,8.107280656252733,0.47583934374726766,3.5277521851553706
2024-07-16T03:00:00Z,10800,10.473,83.989,857.305,NA,8.110176414664545,0.46287358533545486,3.082798942170822
2024-07-16T03:15:00Z,11700,10.421,84.085,858.29,NA,8.111984564283187,0.4709154357168135,3.3531421870165867
2024-07-16T03:30:00Z,12600,10.316,84.045,857.879,NA,8.111495140326262,0.4672948596737374,3.2291913960452683
2024-07-16T03:45:00Z,13500,10.264,84.098,858.422,NA,8.115886360828677,0.4683336391713233,3.26437499506025
2024-07-16T04:00:00Z,14400,10.211,84.146,858.909,NA,8.115967931488164,0.47312206851183625,3.430522100984532
2024-07-16T04:15:00Z,15300,10.107,84.16,859.052,NA,8.11580479016919,0.4747152098308103,3.4872660509380187
2024-07-16T04:30:00Z,16200,10.002,84.19,859.362,NA,8.113996640550548,0.47962335944945167,3.6667895881001487
